FECHA_CORTE,UUID,PERIODO_INGRESANTE,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_ADMISION,ESCUELA,SEXO
20260527,$2b$12$JFum7LG2XMEdLNPxAp3pOewEmTndMUuKYMO3uXP.RA2l/0.bKrE8K,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$moq5yilnkz3w0.80Vm9qUujGLbHxikfGtpfB5tNDBXZUexh9CcXZS,2025-2,JUNIN,JAUJA,SINCOS,HIJO DE COMUNEROS,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$TcUTKHaQWMu5fKg63KShtOwHsTb3JqOAenoapIuXF3lvrXJWBUvfa,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$ayD4iQs2JKbPrZsZlGB/oeigqisKE3PnUucoof2/BdgVS.L7ryBxu,2025-2,JUNIN,HUANCAYO,EL TAMBO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$NO8ohrDgrLUfa0jpzxDrHuFNtz8V6xMLIXyy/L4RnJo3gqWS3BIf2,2025-2,JUNIN,HUANCAYO,HUASICANCHA,HIJO DE COMUNEROS,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$IJ8MR5PCS570.2BXWXC0wOjPiXGJLPoHcn9nhHNalTpjvLgjEyNXu,2025-2,JUNIN,CONCEPCION,CONCEPCION,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$PMR1yWLFnA.qpDE6f2hDN.WyLsyDEvsGp9ozEg1s8QFFQnYK4Sthu,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$ugu02/dDRB5VGrn8dvbrHO2Oy9mxZfJlbQZ.hi8zgEvYHNFWPkLw2,2025-2,JUNIN,CHUPACA,CHUPACA,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$EISFPrzzorhH5gyVygiDnOAZiZ53aUZYqruBKjVm0vX4kBSoJWQ7K,2025-2,JUNIN,HUANCAYO,SAPALLANGA,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$ujvOAe4hdQUpkvxL2ca/T.RwcAGir4./3i/hJHto0z6gcaT9oPVzy,2025-2,JUNIN,HUANCAYO,SAN AGUSTIN,CEPRE ADMISION,ECONOMÍA,MASCULINO
20260527,$2b$12$XIKg1r0TzICWHslI.ROu8eqCoIgdAMYTiVxUAruk7RJZgOiNMplgW,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$E5wjplxdSA6lKjKyuslop.2fUsiTXN/olS6VcfQljebJqCPXy1FIO,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$0eWo3X1Smdasvq87JBw7M.Ezibtj7CeqaMs/.X188K9T6Hl5bHY1i,2025-2,HUANCAVELICA,HUANCAVELICA,YAULI,CEPRE ADMISION,ECONOMÍA,FEMENINO
20260527,$2b$12$lhtg.R5KIMOKP1Jw7SRDxeg3TojPz8jbpRFObageFN9hEMMCRg1yq,2025-2,JUNIN,CONCEPCION,ORCOTUNA,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$oLGTbfB4ZEHNOkgfDVQnT.2ad.xlurziz6piG6P276EI5TNSMA2D6,2025-2,JUNIN,HUANCAYO,SAPALLANGA,CEPRE ADMISION,ECONOMÍA,MASCULINO
20260527,$2b$12$EeQtwwqZ314O77PV1adH..17U1JLx6f18Mh6vLF9VZR.vBDUi1ogy,2025-2,JUNIN,HUANCAYO,SAN AGUSTIN,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$Schib//qyl4/2kU6T3gwwOOtLXSjme5fOrzbo5cvMfIhja5fgclv2,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$j/gByg6Z7mq4SL9T6fD2quDJJLdLWUmKVvy3jTIC040SOOT94P5ni,2025-2,JUNIN,JAUJA,POMACANCHA,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$A7sAjxuV.1GG.fr1qBI20.7IOfVpuU11Se/OWqxvu5Qa1Ol79AaH6,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$k/HFhQAdJU2H46oJrOQcBelQJFTiN4pT9gQJDF68J4K5qFl67Izi.,2025-2,HUANCAVELICA,HUANCAVELICA,MANTA,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$ZlM3s3x7FInwrI18ly0aR.wAhX.ctxNs7qKQFQ34QnVFV3.HyyuOC,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$YJ02PqLagr3s6HSq6dHP2O4i3mMJi8tmVDns3tVCsgyoA4P0RZ5z.,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$q5yf2fXPfgAWPkMJFpzroePPBhLkt87e/6elJf0zSn.KbQWmvua1m,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$b6GBqrNQEF8nWmDr3yqs6OVW96E4jNvyDlz5zEQizNkVi7VJRRgNW,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
